intervention_id,intervention_url,date_announced,gta_evaluation,intervention_type,mast_chapter,is_in_force,implementing_jurisdictions,affected_hs_codes
156066,https://globaltradealert.org/intervention/156066,2026-06-01,Red,Export ban,P: Export-related measures (incl. subsidies),Yes,Russia,271019
156084,https://globaltradealert.org/intervention/156084,2026-06-01,Green,Import tariff,Tariff measures,No,United States of America,"840790, 841510, 841581, 841582, 841590, 841981, 843210, 843290, 843320, 843351, 843359, 843390, 847989, 851629, 870130, 870191, 870192, 870193, 870194, 870195, 870321, 870600, 870829, 870840, 870892, 870893, 870899, 871680, 871690"
156090,https://globaltradealert.org/intervention/156090,2026-06-01,Red,Price stabilisation,L: Subsidies (excl. export subsidies),Yes,Argentina,382600
155989,https://globaltradealert.org/intervention/155989,2026-05-30,Green,Export tax,P: Export-related measures (incl. subsidies),Yes,India,"271012, 271019, 271020, 271091, 271099"
155995,https://globaltradealert.org/intervention/155995,2026-05-30,Green,Export tax,P: Export-related measures (incl. subsidies),Yes,India,"271012, 271019, 271020, 271091, 271099"
155897,https://globaltradealert.org/intervention/155897,2026-05-29,Green,Import tariff quota,"E: Non-automatic licensing, quotas etc.",Yes,"Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden","281410, 281420, 310210, 310221, 310260, 310280, 310520, 310530, 310540"
155931,https://globaltradealert.org/intervention/155931,2026-05-29,Red,Price stabilisation,L: Subsidies (excl. export subsidies),Yes,Spain,"271600, 850710, 850720, 850730, 850750, 850760, 850780"
156067,https://globaltradealert.org/intervention/156067,2026-05-29,Red,Internal taxation of imports,"F:  Price-control measures, including additional taxes and charges",Yes,Mexico,"271012, 271019, 271020"
156080,https://globaltradealert.org/intervention/156080,2026-05-29,Green,Export price benchmark,P: Export-related measures (incl. subsidies),Yes,Indonesia,"710812, 711590"
155859,https://globaltradealert.org/intervention/155859,2026-05-28,Green,Import tariff,Tariff measures,Yes,United States of America,"400912, 400922, 400932, 400942, 401110, 401120, 401219, 401220, 401310, 401699, 700721, 700910, 732010, 732020, 830120, 830210, 830230, 840731, 840732, 840733, 840734, 840820, 840991, 840999, 841330, 841391, 841430, 841459, 841480, 841520, 842123, 842132, 842549, 842691, 843110, 847130, 847141, 847149, 847150, 847160, 847170, 847180, 848210, 848220, 848240, 848250, 848310, 850132, 850133, 850134, 850140, 850151, 850152, 850710, 850760, 850790, 851110, 851120, 851130, 851140, 851150, 851180, 851190, 851220, 851230, 851240, 851290, 851981, 852560, 852721, 852729, 853641, 853710, 853720, 853910, 854430, 870600, 870710, 870790, 870810, 870821, 870822, 870829, 870830, 870840, 870850, 870870, 870880, 870891, 870893, 870894, 870895, 870899, 871690, 901510, 902910, 902920, 940120"
155896,https://globaltradealert.org/intervention/155896,2026-05-28,Green,Import tariff,Tariff measures,Yes,United States of America,"730431, 730439, 730441, 730449, 730451, 730459, 730490, 730630, 730640, 730650, 730661, 730669, 731210, 731290, 732290, 732410, 732490, 732620, 741300, 760810, 760820, 830210, 830220, 830242, 830249, 830260, 841221, 841229, 841290, 841381, 841391, 841430, 841459, 841480, 841490, 841510, 841581, 841582, 841583, 841590, 841810, 841830, 841840, 841950, 841981, 841990, 842129, 842542, 842699, 842833, 842839, 842890, 847989, 847990, 848310, 848330, 848340, 848350, 848360, 848390, 850153, 850220, 850231, 850431, 850432, 850433, 851420, 851771, 852990, 854390"
155838,https://globaltradealert.org/intervention/155838,2026-05-27,Green,Import tariff,Tariff measures,Yes,Australia,847989
155841,https://globaltradealert.org/intervention/155841,2026-05-27,Green,Import tariff,Tariff measures,Yes,Australia,847989
155842,https://globaltradealert.org/intervention/155842,2026-05-27,Green,Import tariff,Tariff measures,Yes,Australia,"730900, 761090"
155843,https://globaltradealert.org/intervention/155843,2026-05-27,Green,Import tariff,Tariff measures,Yes,Australia,"842490, 842890"
155853,https://globaltradealert.org/intervention/155853,2026-05-27,Green,Export tax,P: Export-related measures (incl. subsidies),Yes,Russia,"271112, 271113, 271114, 271119, 290110"
